trial_index,arm_name,metric_name,mean,sem,step,job_id,generation_node,status,angularVelocity,nRotorBlades,rotorBladeRadius,rotorBladeHeight,rotorBladeTiltAngle,case_path
9,9_0,MixingQuality,1.26547,,0.0,2516938,BoTorch,COMPLETED,20,5,0.015106270194163642,0.03031921255677287,6.755465458824337,/tmp/data/trials/ThermalMixer_trial_16531e19
9,9_0,PowerConsumption,-0.000908114,,0.0,2516938,BoTorch,COMPLETED,20,5,0.015106270194163642,0.03031921255677287,6.755465458824337,/tmp/data/trials/ThermalMixer_trial_16531e19
10,10_0,BladeDurability,0.00379265,,0.0,2517762,BoTorch,COMPLETED,25,5,0.010476592987753443,0.03245840004942343,6.700411400898756,/tmp/data/trials/ThermalMixer_trial_1e1eca92
10,10_0,MixingQuality,1.21826,,0.0,2517762,BoTorch,COMPLETED,25,5,0.010476592987753443,0.03245840004942343,6.700411400898756,/tmp/data/trials/ThermalMixer_trial_1e1eca92
10,10_0,PowerConsumption,-0.00118493,,0.0,2517762,BoTorch,COMPLETED,25,5,0.010476592987753443,0.03245840004942343,6.700411400898756,/tmp/data/trials/ThermalMixer_trial_1e1eca92
11,11_0,BladeDurability,0.0035786,,0.0,2517897,BoTorch,COMPLETED,40,6,0.013377131056578404,0.03797918681448786,9.328204042586295,/tmp/data/trials/ThermalMixer_trial_092f39b4
11,11_0,MixingQuality,1.35844,,0.0,2517897,BoTorch,COMPLETED,40,6,0.013377131056578404,0.03797918681448786,9.328204042586295,/tmp/data/trials/ThermalMixer_trial_092f39b4
11,11_0,PowerConsumption,0.00228793,,0.0,2517897,BoTorch,COMPLETED,40,6,0.013377131056578404,0.03797918681448786,9.328204042586295,/tmp/data/trials/ThermalMixer_trial_092f39b4
12,12_0,BladeDurability,0.00389766,,0.0,2518294,BoTorch,COMPLETED,40,6,0.01571237376261174,0.04029047911783986,14.0,/tmp/data/trials/ThermalMixer_trial_d18b29f3
12,12_0,MixingQuality,1.07204,,0.0,2518294,BoTorch,COMPLETED,40,6,0.01571237376261174,0.04029047911783986,14.0,/tmp/data/trials/ThermalMixer_trial_d18b29f3
12,12_0,PowerConsumption,0.00269796,,0.0,2518294,BoTorch,COMPLETED,40,6,0.01571237376261174,0.04029047911783986,14.0,/tmp/data/trials/ThermalMixer_trial_d18b29f3
13,13_0,BladeDurability,0.00414293,,0.0,2519190,BoTorch,COMPLETED,34,5,0.013037281428675052,0.04081217526282335,8.149982243646985,/tmp/data/trials/ThermalMixer_trial_85ba973c
13,13_0,MixingQuality,1.37706,,0.0,2519190,BoTorch,COMPLETED,34,5,0.013037281428675052,0.04081217526282335,8.149982243646985,/tmp/data/trials/ThermalMixer_trial_85ba973c
13,13_0,PowerConsumption,-0.001669,,0.0,2519190,BoTorch,COMPLETED,34,5,0.013037281428675052,0.04081217526282335,8.149982243646985,/tmp/data/trials/ThermalMixer_trial_85ba973c
14,14_0,BladeDurability,0.00361234,,0.0,2520231,BoTorch,COMPLETED,24,5,0.01,0.03228098274948077,0.0,/tmp/data/trials/ThermalMixer_trial_a42a3631
14,14_0,MixingQuality,1.20374,,0.0,2520231,BoTorch,COMPLETED,24,5,0.01,0.03228098274948077,0.0,/tmp/data/trials/ThermalMixer_trial_a42a3631
14,14_0,PowerConsumption,1.06357e-06,,0.0,2520231,BoTorch,COMPLETED,24,5,0.01,0.03228098274948077,0.0,/tmp/data/trials/ThermalMixer_trial_a42a3631
15,15_0,BladeDurability,0.00402657,,0.0,2520993,BoTorch,COMPLETED,24,5,0.01033364762451305,0.0421967281953375,10.822138938373556,/tmp/data/trials/ThermalMixer_trial_6605f4f8
15,15_0,MixingQuality,1.22365,,0.0,2520993,BoTorch,COMPLETED,24,5,0.01033364762451305,0.0421967281953375,10.822138938373556,/tmp/data/trials/ThermalMixer_trial_6605f4f8
15,15_0,PowerConsumption,0.000361897,,0.0,2520993,BoTorch,COMPLETED,24,5,0.01033364762451305,0.0421967281953375,10.822138938373556,/tmp/data/trials/ThermalMixer_trial_6605f4f8
16,16_0,BladeDurability,0.00374635,,0.0,2521342,BoTorch,COMPLETED,23,5,0.01,0.042297610623796236,0.0,/tmp/data/trials/ThermalMixer_trial_221ab0ba
16,16_0,MixingQuality,1.19452,,0.0,2521342,BoTorch,COMPLETED,23,5,0.01,0.042297610623796236,0.0,/tmp/data/trials/ThermalMixer_trial_221ab0ba
16,16_0,PowerConsumption,1.30383e-06,,0.0,2521342,BoTorch,COMPLETED,23,5,0.01,0.042297610623796236,0.0,/tmp/data/trials/ThermalMixer_trial_221ab0ba
20,20_0,BladeDurability,0.0038392,,0.0,2523681,BoTorch,COMPLETED,18,5,0.01,0.036843345800604645,7.5990154005819495,/tmp/data/trials/ThermalMixer_trial_4aeb3241
20,20_0,MixingQuality,1.24515,,0.0,2523681,BoTorch,COMPLETED,18,5,0.01,0.036843345800604645,7.5990154005819495,/tmp/data/trials/ThermalMixer_trial_4aeb3241
20,20_0,PowerConsumption,-0.00089912,,0.0,2523681,BoTorch,COMPLETED,18,5,0.01,0.036843345800604645,7.5990154005819495,/tmp/data/trials/ThermalMixer_trial_4aeb3241
17,17_0,BladeDurability,0.00440077,,0.0,2522165,BoTorch,COMPLETED,38,5,0.018096905492167536,0.035696043771780456,8.345880312124969,/tmp/data/trials/ThermalMixer_trial_25e11fce
17,17_0,MixingQuality,0.933805,,0.0,2522165,BoTorch,COMPLETED,38,5,0.018096905492167536,0.035696043771780456,8.345880312124969,/tmp/data/trials/ThermalMixer_trial_25e11fce
17,17_0,PowerConsumption,-0.00180971,,0.0,2522165,BoTorch,COMPLETED,38,5,0.018096905492167536,0.035696043771780456,8.345880312124969,/tmp/data/trials/ThermalMixer_trial_25e11fce
18,18_0,BladeDurability,0.0045371,,0.0,2522861,BoTorch,COMPLETED,40,5,0.018528407736863366,0.038385546730170084,7.879438422550202,/tmp/data/trials/ThermalMixer_trial_d68a0d3c
18,18_0,MixingQuality,0.84812,,0.0,2522861,BoTorch,COMPLETED,40,5,0.018528407736863366,0.038385546730170084,7.879438422550202,/tmp/data/trials/ThermalMixer_trial_d68a0d3c
18,18_0,PowerConsumption,-0.00188097,,0.0,2522861,BoTorch,COMPLETED,40,5,0.018528407736863366,0.038385546730170084,7.879438422550202,/tmp/data/trials/ThermalMixer_trial_d68a0d3c
19,19_0,BladeDurability,0.00413008,,0.0,2523376,BoTorch,COMPLETED,39,5,0.016808766635033463,0.03178136255173525,7.774101822879144,/tmp/data/trials/ThermalMixer_trial_0e3528a1
